Nr,x,y,H,Kodi,Përshkrimi,Burimi
220086PM,7512362.384,4694374.641,620.6741,11,Pik e rendit 3,PM
4218,7512501.516,4695651.073,618.826,2,Kunjë - shtyllë metalik,PM
4219,7512530.315,4695615.922,618.7437,,Kunjë - shtyllë metalik,PM
4220,7512544.455,4695628.121,618.572,2,Kunjë - shtyllë metalik,PM
4221,7512547.545,4695626.171,618.545,2,Kunjë - shtyllë metalik,PM
4222,7512553.725,4695629.42,618.478,2,Kunjë - shtyllë metalik,PM
4223,7512564.266,4695635.27,618.375,2,Kunjë - shtyllë metalik,PM
4224,7512606.167,4695666.116,617.862,2,Kunjë - shtyllë metalik,PM
4226,7512607.307,4695674.746,617.824,2,Kunjë - shtyllë metalik,PM
4228,7512617.227,4695672.296,617.742,2,Kunjë - shtyllë metalik,PM
4230,7512629.907,4695679.455,617.599,2,Kunjë - shtyllë metalik,PM
4231,7512640.968,4695682.714,617.485,2,Kunjë - shtyllë metalik,PM
5832,7512505.186,4695653.752,618.839,2,Kunjë - shtyllë metalik,PM
5833,7512451.591,4695745.815,619.0942,2,Kunjë - shtyllë metalik,PM
5834,7512468.208,4695728.093,619.02845,2,Kunjë - shtyllë metalik,PM
5835,7512517.306,4695659.112,618.8556,2,Kunjë - shtyllë metalik,PM
6417,7512514.715,4695808.834,618.8073,2,Kunjë - shtyllë metalik,PM
6418,7512557.812,4695771.423,618.2345,2,Kunjë - shtyllë metalik,PM
7635,7512649.582,4695689.616,617.3845,2,Kunjë - shtyllë metalik,PM
7648,7512612.976,4695679.59,617.769,2,Kunjë - shtyllë metalik,PM
7649,7512599.032,4695676.118,617.843,2,Kunjë - shtyllë metalik,PM
7650,7512623.028,4695673.094,617.696,2,Kunjë - shtyllë metalik,PM
1,7512471.384,4695724.802,619.022,2,Kunjë - shtyllë metalik,PM
2,7512504.528,4695751.534,619.318,2,Kunjë - shtyllë metalik,PM
3,7512523.685,4695725.432,618.826,2,Kunjë - shtyllë metalik,PM
4,7512488.425,4695698.987,618.957,2,Kunjë - shtyllë metalik,PM
